fast_ema_period,slow_ema_period,stop_loss_pct,take_profit_pct,strategy_type,phase,total_orders,total_positions,pnl_total,pnl_pct,win_rate,expectancy,max_winner,avg_winner,avg_loser,max_loser,profit_factor,sharpe,sortino,volatility
10,30,0.03,0.02,ema,IS,1292,323,112.0673,1.1207,0.2446,0.346958,51.754,9.9087,-2.7488,-24.6371,1.2666,2.3264,4.6107,0.3966
10,30,0.03,0.04,ema,IS,1292,323,112.0673,1.1207,0.2446,0.346958,51.754,9.9087,-2.7488,-24.6371,1.2666,2.3264,4.6107,0.3966
10,40,0.01,0.02,ema,IS,1104,276,28.7147,0.2871,0.2464,0.104039,103.4927,9.9791,-3.1244,-24.6371,1.1222,0.8642,1.9474,0.4961
10,40,0.01,0.04,ema,IS,1104,276,28.7147,0.2871,0.2464,0.104039,103.4927,9.9791,-3.1244,-24.6371,1.1222,0.8642,1.9474,0.4961
10,30,0.03,0.06,ema,IS,1292,323,112.0673,1.1207,0.2446,0.346958,51.754,9.9087,-2.7488,-24.6371,1.2666,2.3264,4.6107,0.3966
10,40,0.01,0.06,ema,IS,1104,276,28.7147,0.2871,0.2464,0.104039,103.4927,9.9791,-3.1244,-24.6371,1.1222,0.8642,1.9474,0.4961
10,40,0.02,0.06,ema,IS,1104,276,28.7147,0.2871,0.2464,0.104039,103.4927,9.9791,-3.1244,-24.6371,1.1222,0.8642,1.9474,0.4961
10,40,0.02,0.02,ema,IS,1104,276,28.7147,0.2871,0.2464,0.104039,103.4927,9.9791,-3.1244,-24.6371,1.1222,0.8642,1.9474,0.4961
10,40,0.02,0.04,ema,IS,1104,276,28.7147,0.2871,0.2464,0.104039,103.4927,9.9791,-3.1244,-24.6371,1.1222,0.8642,1.9474,0.4961
10,40,0.03,0.02,ema,IS,1104,276,28.7147,0.2871,0.2464,0.104039,103.4927,9.9791,-3.1244,-24.6371,1.1222,0.8642,1.9474,0.4961
10,40,0.03,0.04,ema,IS,1104,276,28.7147,0.2871,0.2464,0.104039,103.4927,9.9791,-3.1244,-24.6371,1.1222,0.8642,1.9474,0.4961
10,40,0.03,0.06,ema,IS,1104,276,28.7147,0.2871,0.2464,0.104039,103.4927,9.9791,-3.1244,-24.6371,1.1222,0.8642,1.9474,0.4961
10,50,0.01,0.02,ema,IS,992,248,-59.4276,-0.5943,0.2258,-0.239628,102.6833,11.0433,-3.5305,-24.6371,1.0127,0.0902,0.1909,0.5161
10,50,0.01,0.04,ema,IS,992,248,-59.4276,-0.5943,0.2258,-0.239628,102.6833,11.0433,-3.5305,-24.6371,1.0127,0.0902,0.1909,0.5161
10,50,0.01,0.06,ema,IS,992,248,-59.4276,-0.5943,0.2258,-0.239628,102.6833,11.0433,-3.5305,-24.6371,1.0127,0.0902,0.1909,0.5161
10,50,0.02,0.02,ema,IS,992,248,-59.4276,-0.5943,0.2258,-0.239628,102.6833,11.0433,-3.5305,-24.6371,1.0127,0.0902,0.1909,0.5161
10,50,0.02,0.04,ema,IS,992,248,-59.4276,-0.5943,0.2258,-0.239628,102.6833,11.0433,-3.5305,-24.6371,1.0127,0.0902,0.1909,0.5161
10,50,0.02,0.06,ema,IS,992,248,-59.4276,-0.5943,0.2258,-0.239628,102.6833,11.0433,-3.5305,-24.6371,1.0127,0.0902,0.1909,0.5161
10,50,0.03,0.02,ema,IS,992,248,-59.4276,-0.5943,0.2258,-0.239628,102.6833,11.0433,-3.5305,-24.6371,1.0127,0.0902,0.1909,0.5161
10,50,0.03,0.04,ema,IS,992,248,-59.4276,-0.5943,0.2258,-0.239628,102.6833,11.0433,-3.5305,-24.6371,1.0127,0.0902,0.1909,0.5161
10,50,0.03,0.06,ema,IS,992,248,-59.4276,-0.5943,0.2258,-0.239628,102.6833,11.0433,-3.5305,-24.6371,1.0127,0.0902,0.1909,0.5161
10,60,0.01,0.02,ema,IS,888,222,-34.9175,-0.3492,0.2207,-0.157286,100.4757,11.7591,-3.5324,-24.6371,1.0486,0.3049,0.6491,0.54
10,60,0.01,0.04,ema,IS,888,222,-34.9175,-0.3492,0.2207,-0.157286,100.4757,11.7591,-3.5324,-24.6371,1.0486,0.3049,0.6491,0.54
10,60,0.02,0.02,ema,IS,888,222,-34.9175,-0.3492,0.2207,-0.157286,100.4757,11.7591,-3.5324,-24.6371,1.0486,0.3049,0.6491,0.54
10,60,0.01,0.06,ema,IS,888,222,-34.9175,-0.3492,0.2207,-0.157286,100.4757,11.7591,-3.5324,-24.6371,1.0486,0.3049,0.6491,0.54
10,60,0.02,0.04,ema,IS,888,222,-34.9175,-0.3492,0.2207,-0.157286,100.4757,11.7591,-3.5324,-24.6371,1.0486,0.3049,0.6491,0.54
10,60,0.02,0.06,ema,IS,888,222,-34.9175,-0.3492,0.2207,-0.157286,100.4757,11.7591,-3.5324,-24.6371,1.0486,0.3049,0.6491,0.54
10,60,0.03,0.04,ema,IS,888,222,-34.9175,-0.3492,0.2207,-0.157286,100.4757,11.7591,-3.5324,-24.6371,1.0486,0.3049,0.6491,0.54
10,60,0.03,0.02,ema,IS,888,222,-34.9175,-0.3492,0.2207,-0.157286,100.4757,11.7591,-3.5324,-24.6371,1.0486,0.3049,0.6491,0.54
10,60,0.03,0.06,ema,IS,888,222,-34.9175,-0.3492,0.2207,-0.157286,100.4757,11.7591,-3.5324,-24.6371,1.0486,0.3049,0.6491,0.54
10,100,0.01,0.02,ema,IS,736,184,-62.2125,-0.6221,0.1902,-0.338111,90.5075,14.6012,-3.8473,-21.5074,0.9474,-0.3666,-0.6608,0.5149
10,100,0.01,0.06,ema,IS,736,184,-62.2125,-0.6221,0.1902,-0.338111,90.5075,14.6012,-3.8473,-21.5074,0.9474,-0.3666,-0.6608,0.5149
10,100,0.01,0.04,ema,IS,736,184,-62.2125,-0.6221,0.1902,-0.338111,90.5075,14.6012,-3.8473,-21.5074,0.9474,-0.3666,-0.6608,0.5149
10,100,0.02,0.02,ema,IS,736,184,-62.2125,-0.6221,0.1902,-0.338111,90.5075,14.6012,-3.8473,-21.5074,0.9474,-0.3666,-0.6608,0.5149
10,100,0.02,0.04,ema,IS,736,184,-62.2125,-0.6221,0.1902,-0.338111,90.5075,14.6012,-3.8473,-21.5074,0.9474,-0.3666,-0.6608,0.5149
10,100,0.03,0.02,ema,IS,736,184,-62.2125,-0.6221,0.1902,-0.338111,90.5075,14.6012,-3.8473,-21.5074,0.9474,-0.3666,-0.6608,0.5149
10,100,0.02,0.06,ema,IS,736,184,-62.2125,-0.6221,0.1902,-0.338111,90.5075,14.6012,-3.8473,-21.5074,0.9474,-0.3666,-0.6608,0.5149
10,100,0.03,0.04,ema,IS,736,184,-62.2125,-0.6221,0.1902,-0.338111,90.5075,14.6012,-3.8473,-21.5074,0.9474,-0.3666,-0.6608,0.5149
